"Rank","Name","Symbol","marketcap","price (USD)","country"
"100","Yamazaki Baking Co., Ltd.","2212.T","4165814142","21.1565","Japan"
"101","Olam","VC2.SI","4114030084","1.09037","Singapore"
"102","Cal-Maine Foods","CALM","4085539328","87.08","United States"
"103","Patanjali Foods","PATANJALI.NS","4052115892","3.72478","India"
"104","Cranswick","CWK.L","3908962806","73.0536","United Kingdom"
"105","Kewpie Corporation","2809.T","3870597027","28.5136","Japan"
"106","Kobe Bussan","3038.T","3838826385","17.3067","Japan"
"107","NH Foods (Nipponham)","2282.T","3695960682","39.263","Japan"
"108","Wingstop Restaurants","WING","3659763456","134.34","United States"
"109","ORION","271560.KS","3583734848","90.6614","South Korea"
"110","Unilever Indonesia","UNVR.JK","3583135215","0.0943396","Indonesia"
"111","The a2 Milk Company","A2M.AX","3547366012","4.89004","New Zealand"
"112","Premium Brands","PBH.TO","3478240171","66.9035","Canada"
"113","Nichirei Corporation","2871.T","3468489662","13.8398","Japan"
"114","Indofood","INDF.JK","3388672262","0.385935","Indonesia"
"115","Tate &amp; Lyle","TATE.L","3301565796","7.46008","United Kingdom"
"116","PPB Group Berhad","4065.KL","3260679183","2.29432","Malaysia"
"117","Ebro Foods","EBRO.MC","3234982267","21.0248","Spain"
"118","Jubilant FoodWorks","JUBLFOOD.NS","3023364393","4.59705","India"
"119","Freshpet","FRPT","2984933376","60.74","United States"
"120","Tootsie Roll Industries","TR","2960992768","39.39","United States"
"121","The Marzetti Company","MZTI","2950922240","107.61","United States"
"122","Charoen Pokphand Indonesia","CPIN.JK","2939717888","0.179273","Indonesia"
"123","Unibel S.A.","UNBL.PA","2915692559","1370.66","France"
"124","Bakkafrost","BAKKA.OL","2834558617","47.8627","Denmark"
"125","Greggs","GRG.L","2787237730","27.3379","United Kingdom"
"126","Südzucker","SZU.F","2722444029","13.3333","Germany"
"127","Shake Shack","SHAK","2698230528","63.07","United States"
"128","(DIA) Distribuidora Internacional de Alimentación","DIA.MC","2693687728","46.5746","Spain"
"129","Leroy Seafood","LSG.OL","2618106995","4.39666","Norway"
"130","Maple Leaf Foods","MFI.TO","2589407989","20.8101","Canada"
"131","Jollibee","JBFCF","2577611520","2.3","Philippines"
"132","DO &amp; CO Aktiengesellschaft","DOC.VI","2560909944","233.161","Austria"
"133","AWL Agri Business","AWL.NS","2532864552","1.9607","India"
"134","Morinaga Milk Industry","2264.T","2449036128","7.58745","Japan"
"135","Kotobuki Spirits","2222.T","2437708059","15.7849","Japan"
"136","Tiger Brands","TBS.JO","2430332600","16.6245","South Africa"
"137","Saizeriya","7581.T","2421874952","49.2967","Japan"
"138","Nissui Corporation","1332.T","2399218815","7.91112","Japan"
"139","TORIDOLL Holdings Corporation","3397.T","2385911532","27.1381","Japan"
"140","Ocado","OCDO.L","2370993802","2.8468","United Kingdom"
"141","Migros Ticaret A.S.","MGROS.IS","2335125470","13.1119","Turkey"
"142","Premier Foods","PFD.L","2245490982","2.60598","United Kingdom"
"143","Mitchells &amp; Butlers plc","MAB.L","2239922141","3.76704","United Kingdom"
"144","Calbee, Inc.","2229.T","2220457815","18.2622","Japan"
"145","create restaurants holdings","3387.T","2203633673","4.88609","Japan"
"146","Fuji Oil Holdings","2607.T","2136985284","24.8537","Japan"
"147","Universal Robina Corporation","UVRBF","2133001984","1","Philippines"
"148","CJ Cheiljedang Corporation","097950.KS","2127104515","132.752","South Korea"
"149","Mayora","MYOR.JK","2093635821","0.0946163","Indonesia"
"150","Savola Group","2050.SR","2059032977","6.94063","Saudi Arabia"
"151","SSP Group","SSPG.L","2056906717","2.7015","United Kingdom"
"152","Hatsun Agro Products","HATSUN.NS","2047854472","9.19358","India"
"153","Ezaki Glico Co., Ltd.","2206.T","1950003117","31.8063","Japan"
"154","AVI Limited","AVI.JO","1820485300","5.45572","South Africa"
"155","Austevoll Seafood","AUSS.OL","1803029318","8.93367","Norway"
"156","Guzman y Gomez","GYG.AX","1754270138","17.628","Australia"
"157","Sildarvinnslan","SVN.IC","1748059080","0.94703","Iceland"
"158","Nomad Foods","NOMD","1734808320","12.41","United Kingdom"
"159","Saudia Dairy &amp; Foodstuff Company","2270.SR","1729617897","54.1188","Saudi Arabia"
"160","Cloetta","CLA-B.ST","1727130217","6.00736","Sweden"
"161","Arcos Dorados Holdings","ARCO","1725330304","8.19","Uruguay"
"162","ARYZTA AG","ARYN.SW","1643099485","66.1882","Switzerland"
"163","Fine Organics","FINEORG.NS","1562963415","50.9773","India"
"164","Yoshinoya Holdings Co., Ltd.","9861.T","1562367741","24.1379","Japan"
"165","BJ's Restaurants","BJRI","1560716800","74.26","United States"
"166","Nongshim","004370.KS","1559160621","267.246","South Korea"
"167","B.F. S.p.A.","BFG.MI","1543444349","5.89522","Italy"
"168","Devyani International","DEVYANI.NS","1527546265","1.23895","India"
"169","Flowers Foods","FLO","1513631616","7.14","United States"
"170","Kagome Co., Ltd.","2811.T","1484768709","16.4229","Japan"
"171","J&amp;J Snack Foods","JJSF","1441387520","76.86","United States"
"172","East India Distilleries Parry","EIDPARRY.NS","1419627816","7.97742","India"
"173","Thai Union Group","TU.BK","1419265355","0.368153","Thailand"
"174","Bell Food Group","BELL.SW","1402097309","223.85","Switzerland"
"175","Brim hf.","BRIM.IC","1402024232","0.728155","Iceland"
"176","Wendy’s","WEN","1401937536","7.36","United States"
"177","Morinaga &amp; Company","2201.T","1397574646","16.6438","Japan"
"178","Fresh Del Monte Produce","FDP","1390188416","29.22","Cayman Islands"
"179","Dole PLC","DOLE","1361724672","14.31","Ireland"
"180","Italmobiliare","ITM.MI","1359790213","32.3546","Italy"
"181","The Monogatari Corporation","3097.T","1312202546","34.1715","Japan"
"182","Bega Cheese","BGA.AX","1305335035","4.27176","Australia"
"183","Corbion","CRBN.AS","1293864686","22.4525","Netherlands"
"184","Nestle Pakistan","NESTLE.PK","1278128511","28.1839","Pakistan"
"185","Biglari","BH","1252531712","399.02","United States"
"186","Utz Brands","UTZ","1249257984","14.11","United States"
"187","Domino's Pizza Enterprises (Australia)","DMP.AX","1232181863","13.005","Australia"
"188","Seneca Foods","SENEA","1133799168","167.3","United States"
"189","The National Agricultural Development Company","6010.SR","1128729905","3.74198","Saudi Arabia"
"190","Mission Produce","AVO","1126813696","12.75","United States"
"191","Princes Group plc","PRN.L","1114396104","4.55408","United Kingdom"
"192","Cobram Estate Olives","CBO.AX","1100012086","2.29748","Australia"
"193","Mezzan Holding Company","MEZZAN.KW","1096389655","3525.04","Kuwait"
"194","ARIAKE JAPAN","2815.T","1076411031","33.7981","Japan"
"195","Lassonde Industries","LAS-A.TO","1070653413","156.95","Canada"
